HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Dortmund,Leverkusen,A,5.0,5.0,6.0,1.0,1.0207513158843464,0.6308172177167811,1.4193387398627573,0.38278174345662985,-1
Vallecano,Celta,H,5.0,7.0,3.0,3.0,1.1483094225362267,2.049839629365645,0.63071988595866,1.2758993583735851,1
Dortmund,Leverkusen,A,5.0,5.0,6.0,1.0,0.7655157500180206,1.1037861915367482,1.734521158129176,0.5103438333453472,-1
Vallecano,Celta,H,5.0,7.0,3.0,3.0,1.2758198198198198,1.7342536515853224,0.4729782686141788,1.2758198198198198,1
Nantes,Monaco,D,4.0,7.0,3.0,11.0,0.3827340203213951,0.9459791611007213,0.7883159675839345,0.6378900338689918,0
Lazio,Como,D,4.0,4.0,7.0,7.0,0.3827220981338713,2.3647938740984773,0.7882646246994925,1.148166294401614,0
Nantes,Monaco,D,4.0,7.0,3.0,11.0,0.5103170028818445,0.9459401709401709,0.6306267806267807,0.7654755043227666,0
Auxerre,Lille,D,3.0,5.0,6.0,10.0,0.5103011093502378,0.6305857219156134,0.94587858287342,0.7654516640253566,0
Freiburg,Holstein Kiel,H,5.0,7.0,7.0,1.0,1.5310762138020457,0.9459854014598539,0.7883211678832116,2.0414349517360613,1
Empoli,Lecce,A,5.0,6.0,9.0,2.0,0.3827295642779978,1.1035777856888573,0.4729619081523674,1.5309182571119913,-1
Sevilla,Valencia,D,5.0,1.0,10.0,1.0,0.6379086850064813,0.31525936471216304,0.4728890470682445,0.7654904220077776,0
Brest,Lyon,H,6.0,3.0,4.0,7.0,1.7862173255562757,0.7881672597864768,1.4187010676156584,0.8931086627781378,1
Reims,Nice,A,3.0,10.0,6.0,3.0,0.12758297933616533,0.7881861044391069,1.1034605462147495,1.5309957520339839,-1
Rennes,Marseille,A,4.0,7.0,2.0,3.0,1.7861061118709955,0.315197865718097,1.8911871943085816,0.3827370239723562,-1
Freiburg,Holstein Kiel,H,5.0,7.0,7.0,1.0,1.913763317016988,1.2607095225393439,0.9455321419045079,2.1689317592859196,1
Heidenheim,Union Berlin,H,9.0,6.0,5.0,4.0,0.38271320618927673,2.678833674104365,0.9454707085074229,1.9135660309463836,1
Hoffenheim,Wolfsburg,A,2.0,3.0,4.0,8.0,1.0205368065050011,1.418366076984621,2.6791359231931726,1.1481039073181263,-1
Mainz,Bochum,H,5.0,2.0,5.0,6.0,1.4033964164927684,0.4728,0.6304000000000001,0.510325969633734,1
Milan,Cagliari,D,11.0,2.0,9.0,1.0,0.6378876178142312,0.31523555555555555,0.9457066666666666,0.8930426649399237,0
Torino,Juventus,D,2.0,9.0,9.0,1.0,0.0,0.7881077237578882,0.9457292685094658,0.5103309352517986,0
Udinese,Atalanta,D,3.0,2.0,5.0,3.0,0.7655276598805841,1.8915037326697475,0.9457518663348737,0.2551758866268614,0
Udinese,Atalanta,D,3.0,2.0,5.0,3.0,0.765613984605424,1.5764308567365803,0.6305723426946321,0.2552046615351414,0
Torino,Juventus,D,2.0,9.0,9.0,1.0,0.12761671822171067,0.7883043014575186,1.103626022040526,0.6380835911085533,0
Alaves,Girona,A,2.0,1.0,6.0,3.0,0.6381096245144583,0.6306584910690483,1.1036523593708343,1.0209753992231334,-1
Espanol,Leganes,D,5.0,6.0,8.0,4.0,0.6381815566105596,0.4730051537231207,1.103678692020615,0.7658178679326715,0
Heidenheim,Union Berlin,H,9.0,6.0,5.0,4.0,0.5105660648780839,2.2074100399822303,0.9460328742780987,2.0422642595123355,1
Hoffenheim,Wolfsburg,A,2.0,3.0,4.0,8.0,0.5105501618122977,1.103829409151488,2.365348733896046,1.0211003236245955,-1
Mainz,Bochum,H,5.0,2.0,5.0,6.0,1.2765192376842862,0.31538734896943854,0.6307746979388771,0.5106076950737145,1
St Pauli,Ein Frankfurt,A,4.0,6.0,3.0,3.0,0.7658876824620695,1.1039800995024873,2.0502487562189056,0.7658876824620695,-1
M'gladbach,Bayern Munich,A,0.0,10.0,4.0,10.0,1.531947939886388,0.6308607977258595,0.7885759971573243,0.765973969943194,-1
Brest,Lyon,H,6.0,3.0,4.0,7.0,2.042827353131517,0.788594777047433,1.4194705986853795,1.0214136765657584,1
Reims,Nice,A,3.0,10.0,6.0,3.0,0.2553454597742469,1.261781685762501,1.5772271072031263,1.787418218419728,-1
Rennes,Marseille,A,4.0,7.0,2.0,3.0,1.9150312702178132,0.31536890704075293,1.8922134422445174,0.38300625404356264,-1
M'gladbach,Bayern Munich,A,0.0,10.0,4.0,10.0,1.2767395054629098,0.7883710608078118,0.7883710608078118,0.7660437032777458,-1
St Pauli,Ein Frankfurt,A,4.0,6.0,3.0,3.0,0.766129959746981,1.1037457837741877,1.7344576602165809,0.5107533064979873,-1
Sevilla,Valencia,D,5.0,1.0,10.0,1.0,0.6385135135135136,0.47304517617821956,0.47304517617821956,0.6385135135135136,0
Espanol,Leganes,D,5.0,6.0,8.0,4.0,0.38312369726155393,0.4730564430244941,0.7884274050408236,0.38312369726155393,0
Valladolid,Betis,H,1.0,3.0,1.0,8.0,0.383139284174213,1.7345815955275536,0.9461354157423019,1.2771309472473766,1
Alaves,Girona,A,2.0,1.0,6.0,3.0,0.5108731584620914,0.788534918803798,1.103948886325317,1.0217463169241827,-1
Valladolid,Betis,H,1.0,3.0,1.0,8.0,0.38319798778296804,1.5771073646850045,0.6308429458740018,0.8941286381602587,1
Milan,Cagliari,D,11.0,2.0,9.0,1.0,0.3832135671169876,0.4731854480922804,1.1040993788819875,0.8941649899396378,0
Empoli,Lecce,A,5.0,6.0,9.0,2.0,0.3832291442121146,1.419590098482832,0.7886611658237956,1.6606596249191636,-1
Toulouse,Strasbourg,A,5.0,2.0,3.0,2.0,1.1497341572064952,0.3154160014191946,1.4193720063863757,1.0219859175168846,-1
Montpellier,Angers,A,3.0,8.0,3.0,3.0,1.4052877361879448,1.4192798864845693,0.31539553032990425,0.6387671528127021,-1
Paris SG,St Etienne,H,9.0,3.0,7.0,3.0,1.405344827586207,0.6306942104796525,0.31534710523982623,1.9163793103448277,1
RB Leipzig,Werder Bremen,H,7.0,2.0,4.0,1.0,0.7665277977302111,1.8921276595744683,0.9460638297872341,0.1277546329550352,1
Le Havre,Lens,A,4.0,7.0,3.0,8.0,0.0,1.7343378833540155,1.261336642439284,0.6386614964814017,-1
Montpellier,Angers,A,3.0,8.0,3.0,3.0,1.1496373949881524,1.7342254519673874,0.7882842963488125,0.6386874416600847,-1
Toulouse,Strasbourg,A,5.0,2.0,3.0,2.0,1.1496840896036762,0.6305306990342873,1.5763267475857181,0.8941987363584147,-1
Paris SG,St Etienne,H,9.0,3.0,7.0,3.0,1.27747864168282,0.7881123217291168,0.47286739303747005,2.0439658266925123,1
Las Palmas,Getafe,A,7.0,3.0,4.0,5.0,1.0219510444332782,0.7881310894596989,0.0,0.8942071638791184,-1
Ath Madrid,Osasuna,H,5.0,1.0,4.0,0.0,1.5329888027562446,1.1033120793482112,0.3152320226709175,0.7664944013781223,1
Le Havre,Lens,A,4.0,7.0,3.0,8.0,0.12775425249407882,1.5763372298972724,1.5763372298972724,0.638771262470394,-1
Augsburg,Stuttgart,A,2.0,5.0,3.0,9.0,0.2555188746949907,0.6304940676465379,1.5762351691163448,0.7665566240849719,-1
